district,Total_Young_Adults,Total_Population,Percent_Young_Adults
Mitte,51273,377941,13.566403221666874
Friedrichshain-Kreuzberg,31239,283887,11.004026249881115
Neukoelln,35232,329233,10.701235902840844
Spandau,25190,242137,10.403201493369457
Tempelhof-Schoeneberg,35090,348739,10.061966112192787
Reinickendorf,26166,263494,9.930396897083046
Charlottenburg-Wilmersdorf,33511,338717,9.893509921261701
Lichtenberg,27121,286242,9.4748499521384
Steglitz-Zehlendorf,28139,306576,9.178474505505976
Treptow-Koepenick,21472,264993,8.10285554712766
Marzahn-Hellersdorf,21335,266681,8.000194989519313
Pankow,31804,402289,7.905759292448961
