Year,Corrected_District,Total_Crimes_Per_District_Year
2012,Mitte,92532
2012,Neukoelln,62764
2012,Friedrichshain-Kreuzberg,59933
2012,Charlottenburg-Wilmersdorf,58915
2012,Pankow,58649
2012,Reinickendorf,56520
2012,Tempelhof-Schoeneberg,45511
2012,Spandau,33287
2012,Lichtenberg,33247
2012,Steglitz-Zehlendorf,31061
2012,Treptow-Koepenick,30638
2012,Marzahn-Hellersdorf,30344
2013,Mitte,93596
2013,Friedrichshain-Kreuzberg,63141
2013,Neukoelln,61895
2013,Charlottenburg-Wilmersdorf,61028
2013,Pankow,59273
2013,Reinickendorf,54173
2013,Tempelhof-Schoeneberg,46640
2013,Steglitz-Zehlendorf,33764
2013,Spandau,33542
2013,Lichtenberg,32538
2013,Treptow-Koepenick,32304
2013,Marzahn-Hellersdorf,30150
2014,Mitte,93661
2014,Friedrichshain-Kreuzberg,69986
2014,Charlottenburg-Wilmersdorf,61517
2014,Neukoelln,61092
2014,Pankow,60189
2014,Reinickendorf,54194
2014,Tempelhof-Schoeneberg,47236
2014,Treptow-Koepenick,32817
2014,Lichtenberg,32253
2014,Spandau,32103
2014,Steglitz-Zehlendorf,31895
2014,Marzahn-Hellersdorf,28386
2015,Mitte,98886
2015,Friedrichshain-Kreuzberg,77366
2015,Pankow,67468
2015,Charlottenburg-Wilmersdorf,65202
2015,Neukoelln,64028
2015,Reinickendorf,55028
2015,Tempelhof-Schoeneberg,48250
2015,Lichtenberg,32488
2015,Spandau,32234
2015,Treptow-Koepenick,31807
2015,Steglitz-Zehlendorf,31759
2015,Marzahn-Hellersdorf,28662
2016,Mitte,106201
2016,Friedrichshain-Kreuzberg,73492
2016,Neukoelln,65181
2016,Pankow,63824
2016,Charlottenburg-Wilmersdorf,62679
2016,Reinickendorf,56551
2016,Tempelhof-Schoeneberg,49352
2016,Lichtenberg,36295
2016,Treptow-Koepenick,34160
2016,Steglitz-Zehlendorf,33160
2016,Spandau,32607
2016,Marzahn-Hellersdorf,30463
2017,Mitte,97458
2017,Friedrichshain-Kreuzberg,64502
2017,Neukoelln,62241
2017,Charlottenburg-Wilmersdorf,59571
2017,Pankow,56790
2017,Reinickendorf,49624
2017,Tempelhof-Schoeneberg,45694
2017,Treptow-Koepenick,33422
2017,Lichtenberg,33111
2017,Spandau,31505
2017,Marzahn-Hellersdorf,30073
2017,Steglitz-Zehlendorf,28871
2018,Mitte,89611
2018,Friedrichshain-Kreuzberg,63889
2018,Neukoelln,60483
2018,Charlottenburg-Wilmersdorf,58969
2018,Pankow,52448
2018,Tempelhof-Schoeneberg,50042
2018,Reinickendorf,47915
2018,Treptow-Koepenick,32955
2018,Lichtenberg,32909
2018,Spandau,31486
2018,Steglitz-Zehlendorf,29414
2018,Marzahn-Hellersdorf,27367
2019,Mitte,85372
2019,Friedrichshain-Kreuzberg,67089
2019,Neukoelln,61073
2019,Charlottenburg-Wilmersdorf,54681
2019,Pankow,52836
2019,Tempelhof-Schoeneberg,44995
2019,Reinickendorf,44192
2019,Treptow-Koepenick,32815
2019,Lichtenberg,32595
2019,Steglitz-Zehlendorf,29163
2019,Spandau,28033
2019,Marzahn-Hellersdorf,26530
