location,2012,2013,2014,2015,2016,2017,2018,2019
alexanderplatz,19314,20167,20068,21809,21931,20861,19391,22810
tempelhofer_vorstadt,12729,12191,12453,13597,13273,12385,13082,13931
frankfurter_allee_south_fk,10117,11138,12420,13861,12256,10806,10787,12519
schoeneberg-north,9883,10523,10347,11207,10810,11021,13495,10629
tempelhof,9211,9044,9569,9285,9808,9073,9464,10218
neukoellner_central,10014,9828,9538,9797,9873,9952,9301,10045
central,10014,9828,9538,9797,9873,9952,9301,10045
suedliche_friedrichstadt,8433,8755,9276,10124,11076,9821,9053,9714
wedding_central,10905,10551,10675,10482,11037,9991,9157,8852
karl-marx-allee-south,6073,6484,6935,7244,7346,6860,7177,8608
reuterstrasse,7081,6813,6719,7429,7458,7184,7140,8577
moabit_east,6282,6535,8158,9527,8565,8988,7954,8353
kurfuerstendamm,8955,8691,9275,10118,8482,7908,8428,7931
schoeneberg-south,7018,7424,7331,7878,7647,7547,8449,7848
suedliche_luisenstadt,5509,7085,7762,8985,6919,5970,6141,7637
brunnenstrasse_north,7525,8034,7974,7040,7471,7487,6911,7270
parkviertel,8257,7948,8038,8156,8706,7556,7256,7197
regierungsviertel,6046,6735,7153,8157,8719,7470,6860,7064
moabit_west,6960,6810,6750,7113,8571,7645,6909,6889
osloer_strasse,8690,8427,8658,8313,8640,6916,6804,6728
rixdorf,6419,6496,6572,6826,6537,6453,5998,6626
noerdliche_luisenstadt,5793,6644,7227,7987,7469,6356,5682,6242
britz,5681,5768,5957,5771,6329,6146,5782,5987
spandau_central,6793,7072,7285,6930,6595,6286,6301,5829
wilhelmstadt,5551,5819,5529,5096,6027,6502,6287,5606
schillerpromenade,7910,7475,5943,6430,6445,6427,6195,5567
marzahn-central,6269,6085,5432,5586,6281,6555,5270,5486
alt-lichtenberg,4654,4658,4833,4965,6076,5494,5265,5470
tiergarten_south,5333,5610,5510,5740,5235,5884,5815,5169
otto-suhr-allee,5490,5430,5547,5625,5958,5559,5496,5158
frankfurter_allee_north,4078,4437,5121,5178,5493,4753,4651,5097
mariendorf,5087,5384,4981,4737,5085,4534,4716,5086
prenzlauer_berg_east,4528,4641,5089,5789,5729,4837,4732,4961
friedenau,5164,5798,5752,5300,5816,5092,4865,4937
hellersdorf-north,5243,5321,5170,5068,5194,4797,4523,4922
volkspark_wilmersdorf,4130,4158,4549,4734,4496,4407,4529,4726
brunnenstrasse_south,4712,5349,4823,4995,5500,5218,4276,4594
gropiusstadt,4724,4298,4394,4999,4806,4158,4761,4572
neu_lichtenberg,3627,3569,3962,3946,4180,3928,4236,4510
zehlendorf_north,4945,5134,5466,5694,5580,4515,4157,4502
westend,4081,4458,5140,5215,5309,4841,4493,4443
weissensee,4180,4345,4144,5627,4754,4018,3745,4435
schlossstr.,4204,4742,4025,4263,4426,4047,3718,4358
kantstrasse,4734,5070,5032,5678,5342,4734,4502,4315
duesseldorfer_strasse,4456,4714,4587,5124,4679,4530,5168,4311
albrechtstr.,4327,4432,4151,3890,4218,3739,3936,4256
marzahn-south,3938,4193,3790,4257,4871,4484,3692,4121
prenzlauer_berg_southwest,5128,4991,5077,5533,5631,4696,4164,4050
pankow_central,4689,4788,4702,5024,4600,4404,4223,3903
drakestr.,3962,4313,3750,4109,4342,3347,4265,3777
mv_1_-_maerkisches_viertel,5593,5799,5691,5510,5049,4333,3721,3770
prenzlauer_berg_north,3845,4038,4246,5394,4563,3873,3389,3714
lankwitz,3328,3845,3354,2924,3320,2994,3563,3653
oberschoeneweide,2713,3322,2818,2806,3073,3167,2980,3633
west_4_-_auguste-viktoria-allee,3855,3764,4272,4145,3910,3661,3621,3614
prenzlauer_berg_northwest,4292,4054,4434,4997,5345,4336,3814,3569
alt-treptow,2352,2361,2726,2824,2671,3116,2837,3531
east_2_-_alt-reinickendorf,3985,3961,4227,4083,4056,3560,3698,3529
falkenhagener_feld,4058,3963,3894,4020,3955,3493,3514,3455
north_2_-_waidmannslust,3863,3882,3915,3921,4233,3675,3521,3438
wittenau,3863,3882,3915,3921,4233,3675,3521,3438
luebars,3863,3882,3915,3921,4233,3675,3521,3438
charlottenburg-north,3234,3475,3587,3230,3784,3484,3198,3382
lichtenrade,3987,3773,3607,3644,4035,3126,3502,3362
neue_kantstrasse,3199,3827,3852,4040,3653,3955,3622,3294
prenzlauer_berg_south,3684,3943,3965,5202,4170,3663,2993,3248
pankow_south,3268,3243,3534,3685,3551,3325,3094,3224
karl-marx-allee-north,3273,3203,3428,3290,3814,3161,2886,3179
fennpfuhl,3613,3214,3437,3505,4161,3434,3249,3161
rudow,3452,3557,3259,3585,3927,3370,3117,3042
east_1_-_reginhardstr.,3864,3774,4080,3659,4184,3258,2987,3032
heerstrasse_north,3695,3648,3249,3235,3584,3368,2974,3003
teltower_damm,3158,3430,3444,3375,3500,2874,2882,2971
koellnische_heide,3194,3577,3206,3302,3446,2758,3133,2963
alt-hohenschoenhausen_south,3260,3489,3304,3582,3561,2929,2658,2916
west_1_-_tegel-south,3921,3210,2025,2182,2725,2694,2539,2896
flughafensee,3921,3210,2025,2182,2725,2694,2539,2896
zehlendorf_southwest,2519,3084,3058,2821,2485,2626,2449,2774
neu-hohenschoenhausen_south,2950,2744,2693,2454,2753,2709,2966,2744
marienfelde,3253,3124,3027,2799,2741,2739,2701,2715
ostpreussendamm,2992,3270,3251,2953,3189,2813,2784,2706
schloss_charlottenburg,3047,3097,3136,3061,3018,3065,2933,2658
niederschoeneweide,1990,1960,2052,1978,2038,2506,2560,2552
marzahn-north,3031,2928,2597,2320,2579,2643,2607,2528
helmholtzplatz,3045,2970,3232,4469,3493,3726,2673,2527
halensee,2269,2452,2280,2765,2283,2103,2303,2505
biesdorf,2524,2757,2495,2742,2575,2646,2369,2485
adlershof,2209,2111,2327,2204,2697,2443,2767,2473
friedrichsfelde_south,2123,2066,2013,1884,2303,2109,2099,2426
buckow,2265,2084,1867,2174,2040,1664,1978,2342
grunewald,2169,2363,2368,2399,2147,2105,2179,2333
neu-hohenschoenhausen_north,2801,2616,2309,2395,2310,2319,2537,2303
north_1_-_frohnau,2751,2950,2720,2544,2565,2408,2597,2205
hermsdorf,2751,2950,2720,2544,2565,2408,2597,2205
buch,2350,2086,1897,2347,2264,1985,1785,2187
hakenfelde,2598,2650,1890,2254,2334,2014,2282,2187
alt-hohenschoenhausen_north,1748,1888,1533,1957,1977,1797,1890,2181
brunsbuetteler_damm,1985,2227,1925,2061,2033,2096,2075,2157
mierendorffplatz,2346,2257,2121,2231,2088,2366,2037,2131
altglienicke,1653,1853,1843,1740,2183,2051,2000,2066
hellersdorf-south,2352,2393,2284,2122,2445,2350,2643,2036
hellersdorf-east,2445,1974,2067,2127,2469,2073,1961,2012
dammvorstadt,1389,1847,1742,1931,1725,1676,1579,2005
heerstrasse,1822,1834,1966,2118,1640,1728,1863,1964
baumschulenweg,1897,1840,2064,2008,2147,2128,2061,1928
west_5_-_tegel,2437,2066,2083,2251,2365,2090,2115,1890
tegeler_forst,2437,2066,2083,2251,2365,2090,2115,1890
blankenfelde,2082,2331,1895,1837,2050,1748,1913,1859
niederschoenhausen,2082,2331,1895,1837,2050,1748,1913,1859
barstrasse,1863,2138,2005,2243,1866,1981,1952,1808
karlshorst,1745,2134,2010,2012,2317,2171,1810,1786
frankfurter_allee_south,1337,1523,1732,1581,1782,1983,1937,1777
weissensee_east,1630,1685,1672,1835,1770,1673,1471,1771
wiesbadener_strasse,1505,1701,1497,1668,1685,1319,1436,1763
haselhorst,2758,2559,2017,2245,2061,1870,1929,1745
siemensstadt,1945,1992,2392,2045,1832,1906,1958,1729
friedrichsfelde_north,1922,1784,1705,1457,1547,1471,1444,1720
blankenburg,1744,1736,1645,1585,1534,1460,1512,1711
heinersdorf,1744,1736,1645,1585,1534,1460,1512,1711
