location,total_crimes
alexanderplatz,166351
tempelhofer_vorstadt,103641
frankfurter_allee_south_fk,93904
schoeneberg-north,87915
wedding_central,81650
neukoellner_central,78348
central,78348
suedliche_friedrichstadt,76252
tempelhof,75672
kurfuerstendamm,69788
moabit_east,64362
osloer_strasse,63176
parkviertel,63114
schoeneberg-south,61142
brunnenstrasse_north,59712
reuterstrasse,58401
regierungsviertel,58204
moabit_west,57647
karl-marx-allee-south,56727
suedliche_luisenstadt,56008
noerdliche_luisenstadt,53400
spandau_central,53091
schillerpromenade,52392
rixdorf,51927
britz,47421
marzahn-central,46964
wilhelmstadt,46417
tiergarten_south,44296
otto-suhr-allee,44263
friedenau,42724
alt-lichtenberg,41415
prenzlauer_berg_east,40306
hellersdorf-north,40238
zehlendorf_north,39993
mariendorf,39610
brunnenstrasse_south,39467
mv_1_-_maerkisches_viertel,39466
kantstrasse,39407
prenzlauer_berg_southwest,39270
frankfurter_allee_north,38808
westend,37980
duesseldorfer_strasse,37569
gropiusstadt,36712
pankow_central,36333
volkspark_wilmersdorf,35729
weissensee,35248
prenzlauer_berg_northwest,34841
schlossstr.,33783
marzahn-south,33346
prenzlauer_berg_north,33062
albrechtstr.,32949
neu_lichtenberg,31958
drakestr.,31865
east_2_-_alt-reinickendorf,31099
prenzlauer_berg_south,30868
west_4_-_auguste-viktoria-allee,30842
north_2_-_waidmannslust,30448
wittenau,30448
luebars,30448
falkenhagener_feld,30352
bezirk_(mi),29669
neue_kantstrasse,29442
lichtenrade,29036
east_1_-_reginhardstr.,28838
fennpfuhl,27774
charlottenburg-north,27374
rudow,27309
lankwitz,26981
pankow_south,26924
heerstrasse_north,26756
karl-marx-allee-north,26234
helmholtzplatz,26135
alt-hohenschoenhausen_south,25699
teltower_damm,25634
koellnische_heide,25579
oberschoeneweide,24512
schloss_charlottenburg,24015
ostpreussendamm,23958
marienfelde,23099
alt-treptow,22418
west_1_-_tegel-south,22192
flughafensee,22192
neu-hohenschoenhausen_south,22013
zehlendorf_southwest,21816
marzahn-north,21233
north_1_-_frohnau,20740
hermsdorf,20740
biesdorf,20593
neu-hohenschoenhausen_north,19590
adlershof,19231
halensee,18960
hellersdorf-south,18625
hakenfelde,18209
grunewald,18063
niederschoeneweide,17636
mierendorffplatz,17577
west_5_-_tegel,17297
tegeler_forst,17297
bezirk_(fh-kb),17212
haselhorst,17184
hellersdorf-east,17128
friedrichsfelde_south,17023
buch,16901
brunsbuetteler_damm,16559
buckow,16414
baumschulenweg,16073
karlshorst,15985
barstrasse,15856
siemensstadt,15799
blankenfelde,15715
niederschoenhausen,15715
altglienicke,15389
alt-hohenschoenhausen_north,14971
heerstrasse,14935
dammvorstadt,13894
frankfurter_allee_south,13652
weissensee_east,13507
mahlsdorf,13087
friedrichsfelde_north,13050
bezirk_(ch-wi),12944
johannisthal,12942
blankenburg,12927
heinersdorf,12927
maerchenland,12927
wiesbadener_strasse,12574
friedrichshagen,12380
west_3_-_borsigwalde,12064
freie_scholle,12064
schmargendorf,11937
west_2_-_heiligensee,11305
konradshoehe,11305
plaenterwald,11064
kaulsdorf,10849
schoenholz,10498
wilhelmsruh,10498
rosenthal,10498
bezirk_(rd),10118
bezirk_(pk),9854
koellnische_vorstadt,9264
spindlersfeld,9264
bezirk_(th-sb),9261
mv_2_-_rollbergsiedlung,9176
gatow,9073
kladow,9073
karow,8708
buckow_north,8660
bezirk_(nk),8623
bohnsdorf,8387
bezirk_(tp-kp),8227
koepenick-south,8033
buchholz,7961
koepenick-north,6675
altstadt-kietz,6554
bezirk_(sp),6142
bezirk_(st-zd),6054
rahnsdorf,5808
hessenwinkel,5808
gruenau,5747
bezirk_(lb),5717
rummelsburger_bucht,5004
bezirk_(mz-hd),4956
allende-viertel,4460
malchow,2934
wartenberg_und_falkenberg,2934
mueggelheim,2256
schmoeckwitz,2223
karolinenhof,2223
rauchfangswerder,2223
forst_grunewald,1205
