district,code,location
mitte,10111,tiergarten_sued
mitte,10112,regierungsviertel
mitte,10113,alexanderplatz
mitte,10114,brunnenstrasse_sued
mitte,10221,moabit_west
mitte,10222,moabit_ost
mitte,10331,osloer_strasse
mitte,10332,brunnenstrasse_nord
mitte,10441,parkviertel
mitte,10442,wedding_zentrum
mitte,19900,"bezirk_(mi),_nicht_zuzuordnen"
friedrichshainkreuzberg,20101,suedliche_friedrichstadt
friedrichshainkreuzberg,20202,tempelhofer_vorstadt
friedrichshainkreuzberg,20303,noerdliche_luisenstadt
friedrichshainkreuzberg,20304,suedliche_luisenstadt
friedrichshainkreuzberg,20405,karlmarxalleenord
friedrichshainkreuzberg,20407,karlmarxalleesued
friedrichshainkreuzberg,20506,frankfurter_allee_nord
friedrichshainkreuzberg,20508,frankfurter_allee_sued_fk
friedrichshainkreuzberg,29900,"bezirk_(fhkb),_nicht_zuzuordnen"
pankow,30101,buch
pankow,30202,blankenfelde/niederschoenhausen
pankow,30203,buchholz
pankow,30304,karow
pankow,30307,blankenburg/heinersdorf/maerchenland
pankow,30405,schoenholz/wilhelmsruh/rosenthal
pankow,30406,pankow_zentrum
pankow,30408,pankow_sued
pankow,30509,weissensee
pankow,30510,weissensee_ost
pankow,30611,prenzlauer_berg_nordwest
pankow,30612,prenzlauer_berg_nord
pankow,30613,helmholtzplatz
pankow,30614,prenzlauer_berg_ost
pankow,30715,prenzlauer_berg_suedwest
pankow,30716,prenzlauer_berg_sued
pankow,39900,"bezirk_(pk),_nicht_zuzuordnen"
charlottenburgwilmersdorf,40101,charlottenburgnord
charlottenburgwilmersdorf,40202,heerstrasse
charlottenburgwilmersdorf,40203,westend
charlottenburgwilmersdorf,40304,schloss_charlottenburg
charlottenburgwilmersdorf,40305,mierendorffplatz
charlottenburgwilmersdorf,40306,ottosuhrallee
charlottenburgwilmersdorf,40307,neue_kantstrasse
charlottenburgwilmersdorf,40308,kantstrasse
charlottenburgwilmersdorf,40309,kurfuerstendamm
charlottenburgwilmersdorf,40310,halensee
charlottenburgwilmersdorf,40411,grunewald
charlottenburgwilmersdorf,40412,schmargendorf
charlottenburgwilmersdorf,40413,wiesbadener_strasse
charlottenburgwilmersdorf,40514,duesseldorfer_strasse
charlottenburgwilmersdorf,40515,barstrasse
charlottenburgwilmersdorf,40516,volkspark_wilmersdorf
charlottenburgwilmersdorf,40617,forst_grunewald
charlottenburgwilmersdorf,49900,"bezirk_(chwi),_nicht_zuzuordnen"
spandau,50101,hakenfelde
spandau,50102,falkenhagener_feld
spandau,50103,spandau_mitte
spandau,50204,brunsbuetteler_damm
spandau,50205,heerstrasse_nord
spandau,50206,wilhelmstadt
spandau,50307,haselhorst
spandau,50308,siemensstadt
spandau,50409,gatow/kladow
spandau,59900,"bezirk_(sp),_nicht_zuzuordnen"
steglitzzehlendorf,60101,schlossstr.
steglitzzehlendorf,60102,albrechtstr.
steglitzzehlendorf,60203,lankwitz
steglitzzehlendorf,60204,ostpreussendamm
steglitzzehlendorf,60305,teltower_damm
steglitzzehlendorf,60306,drakestr.
steglitzzehlendorf,60407,zehlendorf_suedwest
steglitzzehlendorf,60408,zehlendorf_nord
steglitzzehlendorf,69900,"bezirk_(stzd),_nicht_zuzuordnen"
tempelhofschoeneberg,70101,schoenebergnord
tempelhofschoeneberg,70202,schoenebergsued
tempelhofschoeneberg,70303,friedenau
tempelhofschoeneberg,70404,tempelhof
tempelhofschoeneberg,70505,mariendorf
tempelhofschoeneberg,70606,marienfelde
tempelhofschoeneberg,70707,lichtenrade
